date,special,prize1,prize2_1,prize2_2,prize3_1,prize3_2,prize3_3,prize3_4,prize3_5,prize3_6,prize4_1,prize4_2,prize4_3,prize4_4,prize5_1,prize5_2,prize5_3,prize5_4,prize5_5,prize5_6,prize6_1,prize6_2,prize6_3,prize7_1,prize7_2,prize7_3,prize7_4
2019-01-16,22086,79312,90049,54062,72537,10294,62485,99403,26631,73265,3694,2907,6472,2670,1937,7578,4575,5576,4557,3331,257,886,750,28,97,31,95
2019-01-17,68116,26827,31264,81596,87555,9629,37437,65284,39787,92233,839,8472,2914,6721,9662,8264,1248,3012,2856,7858,840,713,571,74,65,15,52
2019-01-18,4289,5242,95071,64877,34673,64527,40670,50986,5702,31069,9439,223,1726,4099,6377,2525,1347,3788,2872,1798,548,660,831,29,18,94,15
2019-01-19,71892,967,76205,84573,46326,54946,97053,56226,70714,61043,6340,3945,48,2066,1714,8635,31,8551,4438,4918,163,257,436,34,64,70,85
2019-01-20,65208,55223,7010,34387,20869,1911,46035,14971,85545,83460,7858,6779,2452,3511,574,6987,889,1676,3179,8622,547,914,882,72,54,95,92
2019-01-21,962,78214,99820,58589,51343,56552,49873,87235,72705,12629,5985,4297,6393,2227,453,9542,1617,4281,6858,9617,838,293,287,69,39,97,78
2019-01-22,40829,68434,88818,57861,95658,31448,52838,39008,11262,25792,3964,6652,7374,5203,8316,2547,7973,6425,4080,584,275,758,205,79,68,97,88
2019-01-23,17810,36003,24319,95465,59880,79925,99726,26965,40159,7814,9152,7336,9103,6144,4323,8819,7127,4898,6770,7637,550,440,991,40,11,22,36
2019-01-24,69336,65487,33847,82018,80846,95080,9696,557,73663,56925,5326,5749,1579,9919,2777,5262,5416,712,2006,3111,840,634,596,94,33,32,24
2019-01-25,95565,31663,92374,72652,53401,82456,76801,72109,64210,15377,2696,661,6027,1009,5880,194,2866,3941,1653,7485,197,722,373,90,97,23,99
