date,special,prize1,prize2_1,prize2_2,prize3_1,prize3_2,prize3_3,prize3_4,prize3_5,prize3_6,prize4_1,prize4_2,prize4_3,prize4_4,prize5_1,prize5_2,prize5_3,prize5_4,prize5_5,prize5_6,prize6_1,prize6_2,prize6_3,prize7_1,prize7_2,prize7_3,prize7_4
2022-05-11,27724,10916,79493,89431,16815,42536,74280,38695,5890,21638,5108,8913,2738,1187,525,2106,1351,8571,3536,3121,504,374,192,37,15,1,24
2022-05-12,55065,85044,34956,54359,61190,18390,5295,62798,29903,41839,5958,6226,4290,1313,5375,8444,7146,5378,1853,501,192,25,435,31,33,39,51
2022-05-13,29436,46318,32294,77466,93212,62933,41364,37952,17902,12456,3159,3187,7174,5338,6056,791,2843,2566,7526,3787,969,827,755,51,49,82,8
2022-05-14,30775,8368,69632,67521,75571,94533,83453,76996,31087,18091,9005,8609,221,4118,731,1769,3270,3088,5179,8847,585,536,357,5,74,8,52
2022-05-15,93649,13716,59642,55194,92663,63665,952,87008,93229,96476,3113,6305,4666,1625,3554,4132,4425,4391,543,9212,284,673,985,10,94,56,49
2022-05-16,17713,95077,26845,85992,68037,86767,32549,59746,77064,23960,2721,9310,9589,6644,8056,8489,8311,2057,8711,9051,553,568,678,87,38,34,88
2022-05-17,58553,76496,45698,57221,59976,69948,14446,44215,92866,39702,9732,906,5734,5995,4858,5190,611,2960,6460,9568,849,632,541,56,19,2,48
2022-05-18,69049,92364,38074,38286,33957,38478,51395,617,57860,35530,4650,8057,190,9775,9972,632,6653,699,7726,943,413,766,550,28,57,2,77
2022-05-19,49968,89976,98236,1110,64466,55492,25276,76607,20023,86611,4653,404,1264,3776,4814,3489,9545,9481,8206,7286,45,986,854,4,71,25,50
2022-05-20,78195,29924,93148,31878,90373,98148,70425,68174,87509,45128,1579,8236,1126,906,8299,3776,3912,2338,8819,9177,218,446,574,22,23,60,58
2022-05-21,85198,20830,8364,24874,9500,837,14233,78831,28309,86212,3330,1999,6180,1527,4238,3344,7589,6327,8058,4791,559,193,47,53,64,13,80
2022-05-22,24547,49158,88253,39604,77448,92351,99577,48872,58631,9422,9311,5583,1959,1099,5841,6574,2211,5029,915,6219,571,895,203,57,56,1,47
2022-05-23,29213,64806,79526,21519,79055,83498,48166,66999,60892,26542,2922,8295,5736,1480,1192,7948,7140,7108,2577,6229,25,779,153,17,54,81,51
2022-05-24,97218,58758,87719,5801,31319,32255,69356,87026,37101,22493,2857,7477,7015,3584,2738,9768,6715,3837,376,5285,785,619,594,30,87,41,49
2022-05-25,87109,7545,3599,26377,41443,41075,50856,95139,25324,61248,7123,3738,4897,4969,2079,2013,4764,8214,1747,7491,348,804,59,77,66,1,59
2022-05-26,41717,95585,58093,91750,87740,81446,96330,95650,41883,98877,3427,2316,6061,2559,4921,3419,1820,2593,493,7193,296,454,735,57,13,63,47
2022-05-27,29667,67112,89775,42471,59259,29533,15141,57109,29907,26346,3800,1820,6576,3971,9378,8504,3152,2231,5413,7322,657,278,665,13,84,54,92
2022-05-28,57318,86313,52292,77476,75688,25120,57019,90657,67823,68014,8907,9773,4469,8369,2517,9153,1007,3430,9241,8362,719,640,292,63,53,39,59
2022-05-29,87354,28042,37479,22643,39497,85599,19492,74411,95798,58465,6411,2761,1501,7149,6941,8163,6338,3309,4247,1198,252,307,648,38,33,31,5
2022-05-30,12512,62935,64686,41116,68096,98840,32140,56092,30312,8501,4910,1554,6967,3310,8077,6006,4601,6632,4181,366,591,768,764,4,94,22,64
2022-05-31,39725,23112,94003,94061,12526,60746,72450,16619,85382,33517,7627,5084,7836,3990,9992,2983,3134,5021,5244,1810,259,636,493,96,60,38,41
2022-06-01,31918,4729,37215,50551,27923,65013,34637,4904,14101,69438,3529,3496,6826,7625,2163,9481,4488,6890,1187,2392,99,210,654,15,52,48,36
2022-06-02,51768,40463,20261,32549,55485,75696,81344,25884,48194,19999,8408,6602,9896,9529,6199,5370,1283,9090,8034,2240,332,925,570,73,13,82,55
2022-06-03,89242,6999,68754,88467,97694,47292,96561,61211,45866,76038,2824,6092,4292,1655,8295,9536,9136,2358,9940,2159,523,93,711,42,31,15,43
2022-06-04,60832,30058,63129,67653,30448,14577,57334,18196,3418,21125,2962,4394,7219,8466,5178,9011,2444,4487,3398,1365,500,161,485,3,68,87,42
2022-06-05,5479,40705,21572,72488,25980,76232,38091,47227,2038,3832,2953,5331,8265,8946,5166,3295,4908,9325,1297,4755,48,332,850,7,67,92,82
2022-06-06,11584,78907,25958,67236,63964,38604,87235,42320,65902,68469,9916,4894,460,3908,2074,8735,9103,4890,2716,4212,585,619,864,51,90,10,32
