date,special,prize1,prize2_1,prize2_2,prize3_1,prize3_2,prize3_3,prize3_4,prize3_5,prize3_6,prize4_1,prize4_2,prize4_3,prize4_4,prize5_1,prize5_2,prize5_3,prize5_4,prize5_5,prize5_6,prize6_1,prize6_2,prize6_3,prize7_1,prize7_2,prize7_3,prize7_4
2020-09-02,45148,97339,16906,46858,78858,73559,45336,40394,38321,43575,7691,7730,7598,4346,9866,8170,8474,3442,733,7302,237,389,26,0,66,95,71
2020-09-03,80180,1877,35594,24534,98521,55161,2193,84549,90436,59598,7283,3897,4382,3869,8097,3369,8788,7382,4231,8821,138,48,154,96,41,59,83
2020-09-04,15580,79107,73712,42181,30283,55284,76464,61810,11075,34179,6011,7452,6842,5634,4401,4280,7342,891,5561,5483,352,765,525,49,34,0,86
2020-09-05,52085,30,56742,42861,24524,25873,36114,8961,14219,82341,6870,4444,1431,2402,8092,9813,1203,4066,5657,3774,199,134,127,70,23,25,0
2020-09-06,1993,3278,51213,94865,69768,45041,35796,12715,79312,71401,3493,6320,8856,5698,5654,856,4466,1100,8872,251,725,995,284,95,98,60,58
2020-09-07,13853,50752,61125,92255,98715,29861,29848,61654,50452,62411,1769,3992,2193,5003,994,2275,2235,3255,591,1643,738,761,537,62,23,9,49
2020-09-08,22022,53249,12116,21873,73594,75334,35205,23355,8743,18255,4757,1591,8512,8391,1817,1409,3198,564,3655,6933,591,558,69,85,56,31,83
2020-09-09,88000,6019,12893,98827,18211,96320,20202,98093,87179,716,4137,2333,8323,6440,7233,6610,6890,5224,4289,6097,520,788,636,24,14,68,90
2020-09-10,81320,66553,90953,75895,87507,18033,11282,88242,46819,7775,9593,9428,1904,9487,3506,4441,8894,8916,3909,4570,502,305,640,9,4,40,7
2020-09-11,16129,69128,72785,45940,47968,2595,58656,70605,58152,19991,6289,8521,9068,3779,4851,8648,2493,6781,5634,2321,425,593,454,32,55,53,13
2020-09-12,51880,88005,25771,26029,34257,84661,38552,36118,32450,49503,4932,114,8251,1821,9461,1024,6778,8797,5980,8173,457,287,953,84,4,19,61
2020-09-13,28463,11841,65265,3892,41161,37992,64523,49239,21899,58599,2635,7284,3108,4778,6204,8680,148,4644,9601,1494,840,124,15,50,29,64,1
2020-09-14,32489,32685,87995,85227,15963,75101,22878,21787,99293,3017,6859,6231,5609,233,4382,5185,4679,8089,2639,4762,64,138,931,61,43,88,35
2020-09-15,23030,91709,85782,29769,50289,2032,55341,84037,50453,54763,4521,2118,952,5967,2611,9343,3439,4487,2006,1729,511,959,654,18,35,8,52
2020-09-16,89582,71120,80529,90561,35792,49983,73121,75011,34640,24493,4352,1487,1574,2359,2433,3919,3388,3394,4554,3240,986,43,151,33,97,12,32
2020-09-17,4170,71985,43509,16141,58831,80153,35981,30730,83764,91048,914,1931,7961,1276,8042,2306,1138,3873,3697,4669,496,256,878,60,34,96,28
2020-09-18,20290,28162,39930,4541,12820,49798,74603,74480,79568,99474,2797,7212,6076,9436,5840,4233,8930,4212,1688,937,299,612,363,1,23,53,45
2020-09-19,54004,72588,90168,50167,32779,20782,72573,44493,4989,54543,2253,7024,2513,3108,1253,7713,8686,2592,2236,7094,586,478,322,95,31,14,68
2020-09-20,5042,66900,3482,31797,17931,53457,36521,54749,11897,26393,57,505,1535,7952,1079,8970,6887,6497,9606,1522,827,732,174,54,6,81,61
2020-09-21,68757,12181,13951,12884,8419,69298,11237,87495,28647,58511,6564,9713,9454,7696,2374,4864,1502,836,4747,8317,839,691,363,29,35,21,49
2020-09-22,87486,91069,65300,14647,4126,79476,78861,75217,65897,49586,1687,5488,3167,3158,5874,9738,5945,5309,4693,8233,384,90,746,6,25,86,80
2020-09-23,97711,12267,16032,77137,81737,72642,89269,84036,78487,52367,1831,7410,8361,6474,1620,6218,1693,1963,1311,526,151,741,1,35,42,99,86
2020-09-24,87082,76056,80203,89491,12192,24493,66130,10791,57269,23850,9267,3392,6448,2186,6469,1667,7674,7842,3543,5,480,305,679,66,61,99,84
2020-09-25,98018,47391,46411,34513,2594,91533,20134,73795,31040,19707,6049,1001,4034,5340,915,8701,5417,9493,1237,7007,672,78,318,2,77,78,65
2020-09-26,17069,46324,45753,22997,77805,36735,81728,84286,64764,49715,3988,1685,7168,4074,7315,9750,7729,2384,9783,6113,91,83,834,51,22,76,79
2020-09-27,37546,25331,51459,66569,17658,63664,80596,92652,22208,97413,8520,8450,7211,2340,7971,5091,6973,286,2373,9878,116,68,630,86,44,17,33
2020-09-28,96331,53485,55959,13496,26088,63136,5285,23649,17176,19790,1957,3708,4458,1599,6982,2221,9456,2549,3116,6304,423,238,678,38,84,98,39
2020-09-29,59323,12312,58611,2021,14381,85133,78198,45491,32380,54197,748,5768,4410,3042,3128,3797,9060,3483,4494,6872,400,339,789,19,36,93,42
2020-09-30,64268,90923,96597,86668,42612,48592,79845,95576,87854,75671,4348,647,6923,6488,4943,7021,8549,1240,6108,2375,721,353,311,5,19,2,58
2020-10-01,3418,94194,66790,17023,73037,94292,39168,44134,44372,48295,9929,3101,9067,2,9860,542,5834,323,9216,4065,969,118,886,16,63,89,61
2020-10-02,99600,25157,41602,1801,7691,61779,63586,48562,13837,36479,7790,1983,3930,3449,4849,8407,9054,4528,931,3793,521,680,821,90,38,21,2
2020-10-03,49797,35496,91712,19994,92841,89268,30971,51036,80833,15865,583,273,4477,4096,9181,1943,3206,9862,7280,2797,170,823,952,13,88,30,4
2020-10-04,80489,60525,29489,40090,23094,98309,88480,17207,83668,83828,6806,8759,294,6830,9890,7466,6063,1097,7618,6992,348,21,852,48,20,49,44
2020-10-05,20823,8394,17392,35179,59391,89387,48578,59291,36922,21144,4145,266,5004,7744,3429,8823,2542,3715,126,785,613,276,994,77,26,71,45
2020-10-06,34965,91685,89331,22853,54281,12371,64157,61127,34092,21386,2235,7767,3929,2457,4940,7983,9776,199,2589,5353,448,554,438,51,93,6,50
2020-10-07,19665,99139,8653,4815,50762,50915,26994,82798,79209,97336,1130,7889,3912,2590,1767,238,3684,5193,9615,1584,319,120,375,70,44,41,3
2020-10-08,9726,69001,88521,72106,33089,50376,22475,50825,64991,56524,4190,1276,4568,9341,9892,1594,3719,7089,7169,7046,279,525,804,37,76,30,73
2020-10-09,60541,68899,42547,4938,95542,6347,57821,86104,21866,92438,7787,3453,1909,9347,1514,2101,2988,3933,7102,8025,513,540,771,22,1,63,96
2020-10-10,52248,1993,73977,89571,50225,37259,71443,75177,80919,81001,823,1371,3782,257,9598,3574,2714,1686,1702,1384,666,648,703,83,29,19,72
2020-10-11,82094,58766,86108,28009,24011,61772,90318,97968,20020,46056,5612,9311,6626,1637,6873,9625,9249,8704,8773,6260,65,200,478,46,65,39,35
2020-10-12,25618,70158,66040,22038,72820,92705,57835,15065,89596,94310,8710,1871,6614,6842,176,265,1931,7403,7804,3784,896,333,795,71,75,28,12
2020-10-13,46266,6681,35295,22887,84704,24938,70761,89224,18022,90278,7616,1060,9684,4889,8749,956,9135,3375,8120,3323,994,138,363,14,30,2,51
2020-10-14,77616,85409,37819,19062,8017,89916,14642,79504,67126,48176,3235,6995,9996,9403,3027,825,2791,1082,8613,4205,260,326,650,14,81,62,38
2020-10-15,62428,42840,13867,38422,87100,43529,98334,47034,95413,95247,5812,5760,179,6915,3018,6857,2805,6012,7802,2051,385,480,556,33,79,50,26
2020-10-16,14408,28308,99131,68897,11317,19395,50764,55010,5188,73841,3162,716,9104,2161,6940,4714,7043,7398,1187,4221,385,250,857,0,1,21,4
2020-10-17,99469,18769,94451,50102,36129,33997,24679,83445,60238,87921,3070,8848,414,7478,6518,5938,5335,1300,7211,4133,892,149,201,13,0,9,18
2020-10-18,62319,9060,40484,2900,31294,9591,77642,11713,6012,42751,9126,6146,8,6452,327,8692,1092,8832,4766,6152,175,767,483,54,0,56,62
2020-10-19,18225,46995,70204,95090,24476,39264,86783,15308,38820,47735,8388,9723,6681,6047,7307,7644,6567,4367,9128,6418,334,18,291,46,19,77,9
2020-10-20,90157,49318,41817,93470,67476,65881,37237,44164,59594,5200,6726,297,9623,9801,1285,8030,1710,2836,6037,4639,125,653,625,92,72,64,10
2020-10-21,7043,44111,38003,35799,36053,21949,3090,28157,68096,26125,6070,9387,5427,8616,4170,5179,3058,1415,1372,254,270,815,851,61,62,64,2
2020-10-22,48879,43896,96795,72578,14640,72640,5348,78416,40104,69172,2815,7032,3984,4841,1538,1116,9760,9404,7906,7237,108,616,731,96,81,35,0
2020-10-23,6125,2898,91024,5454,39463,28179,34370,68522,1371,77795,440,5402,8279,8832,2805,3261,5764,8108,1728,3605,624,200,992,31,65,26,44
2020-10-24,43128,44563,98690,24861,41626,17147,17306,12257,98561,44455,184,3385,5782,5259,4980,9837,6724,7179,5561,7048,992,484,180,71,87,68,9
2020-10-25,32436,67377,91005,18755,43851,47198,22712,26982,32056,79334,9094,9148,4039,483,6569,6671,9042,9238,8107,7551,539,286,106,36,94,51,30
2020-10-26,77946,90034,2124,59163,31986,1608,68954,71290,84959,79813,7930,4981,8681,3884,1819,2901,2990,1272,9511,4408,604,392,753,46,36,75,50
2020-10-27,45538,70385,97679,89919,60269,168,95595,14413,43405,8427,6036,3641,7545,3591,3479,1331,8592,9128,5634,2546,181,311,575,61,65,4,57
2020-10-28,7707,37394,74883,66782,8234,76316,5602,80559,10909,32780,2985,3182,140,1542,6376,2611,9316,1895,9648,6188,958,913,604,10,38,1,64
2020-10-29,33136,1585,89589,48245,5348,34627,20330,93739,22263,25146,8190,6780,3139,6506,7081,8584,1854,8982,4158,1642,212,676,815,60,13,7,55
2020-10-30,57483,33678,12466,88663,83621,75675,25228,70581,11226,63581,7834,9808,5155,8601,7358,3721,5346,7520,5390,2169,81,695,720,31,79,57,65
2020-10-31,92610,91294,74974,10435,26331,8013,93633,89006,92061,72342,5832,7487,649,9960,2615,2252,8945,2660,5353,5162,688,188,135,49,16,74,48
2020-11-01,97059,75778,45173,32668,70353,93702,71338,80690,36694,78156,5765,8282,9274,2189,5563,9933,6101,2483,7093,1735,907,326,493,77,88,48,66
2020-11-02,32461,86683,23097,23669,34290,24040,11909,84388,70970,8009,9648,7479,4163,8148,9927,3949,4784,1754,8199,2772,102,927,809,92,68,13,73
2020-11-03,53818,63246,34137,6381,74076,65599,13527,7170,40142,87238,4234,4380,2115,345,9541,6392,632,5704,3569,9912,112,130,34,24,57,0,66
2020-11-04,16921,25081,45353,75450,44417,83486,92270,12918,55453,55311,2151,2898,8653,7172,1025,3557,7488,1391,1497,8536,774,56,235,38,83,60,1
2020-11-05,96225,12416,88289,70895,58540,6198,29410,34667,31034,96487,9184,1517,3911,1632,169,6495,2845,7630,4805,7416,899,148,248,67,44,80,98
2020-11-06,44571,2894,63559,57593,86504,74801,38444,58707,9164,46685,46,8399,8372,1872,1532,8568,127,3068,2643,7471,126,330,472,26,86,10,65
2020-11-07,356,90783,40070,72208,44812,86087,16787,39461,50863,28026,4301,6816,950,5863,5195,4744,6439,9143,1488,6832,980,4,758,48,67,89,17
2020-11-08,46411,72709,26921,3947,78644,29491,64528,20277,97433,79056,5737,1996,7204,6412,9068,2614,4387,7451,821,4326,29,827,466,57,38,85,15
2020-11-09,20047,89458,47637,25831,34659,63693,56560,70998,55840,43882,7541,21,2445,424,9878,5562,4248,4124,7873,8986,389,470,769,8,99,72,3
2020-11-10,37874,19947,17462,43759,40610,16492,6073,87118,84073,7564,4058,2369,2169,120,8235,7280,7751,5842,3494,5804,96,833,18,62,71,86,97
2020-11-11,56842,11147,93691,82071,48163,10266,31464,11340,76204,31629,2430,8253,9995,5002,4849,6414,2256,737,9745,2041,117,426,349,3,40,42,11
2020-11-12,44516,34627,29627,14586,60672,76373,20188,44571,34767,41130,5513,2694,1951,9442,4913,4007,9343,7798,77,6140,139,205,339,80,54,57,20
